stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity
kalenjins are athletic,misc,17,Male *,Over 50 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,kalenjins are athletic,Luhya *
Women are soft materials. Women's place is in the kitchen. Women are strong.,women,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Women are soft materials. Women's place is in the kitchen. Women are strong.,Kikuyu *
Men are the ones who take the decision. Men are hardworking. Men are the ones who make money in the family.,men,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Men are the ones who take the decision. Men are hardworking. Men are the ones who make money in the family.,Kikuyu *
People from Kikuyu ethnic group are highly skilled in business. People from Kikuyu ethnic group are financially astute. People from Kikuyu ethnic group hardworking. People from Kikuyu ethnic group are very resourceful.,ethnicity_region,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,People from Kikuyu ethnic group are highly skilled in business. People from Kikuyu ethnic group are financially astute. People from Kikuyu ethnic group hardworking. People from Kikuyu ethnic group are very resourceful.,Kikuyu *
Muslims have strong faith. Muslims are the ones who valorize the most solidarity. Christians are a strong community.,religion,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Muslims have strong faith. Muslims are the ones who valorize the most solidarity. Christians are a strong community.,Kikuyu *
Old people are always right,age,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Old people are always right,Kikuyu *
Old people are experienced,age,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Old people are experienced,Kikuyu *
Young people are smart,age,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Young people are smart,Kikuyu *
Young people are the future,age,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Young people are the future,Kikuyu *
Old people are well-educated.,age,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Old people are well-educated.,Kikuyu *
Artists are talented,profession,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Artists are talented,Kikuyu *
Athletes are strong and talented,profession,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Athletes are strong and talented,Kikuyu *
Journalists are talkative,profession,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Journalists are talkative,Kikuyu *
Journalists are great communicators,profession,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Journalists are great communicators,Kikuyu *
Confectioners and chefs are fat,profession,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Confectioners and chefs are fat,Kikuyu *
Informaticians are clever.,profession,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Informaticians are clever.,Kikuyu *
Directors and managers are bossy,misc,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Directors and managers are bossy,Kikuyu *
Receptionists are not welcoming,misc,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Receptionists are not welcoming,Kikuyu *
Teachers are severe.,misc,18,Female  *,26–35 *,Employed *,Research *,Christianity  *,Kenya  *,Kenyan *,en,Teachers are severe.,Kikuyu *
Women can cook,women,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Women can cook,Kikuyu * Luo *
Women are weak,women,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,nl,Women are weak,Kikuyu * Luo *
Women are emotionally in-tune,women,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Women are emotionally in-tune,Kikuyu * Luo *
Women don't care about success at work,women,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Women don't care about success at work,Kikuyu * Luo *
Men are emotionally immature,men,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Men are emotionally immature,Kikuyu * Luo *
Men are good at their jobs,men,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Men are good at their jobs,Kikuyu * Luo *
Men don't cry,men,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,fr,Men don't cry,Kikuyu * Luo *
Luo people are loud and flamboyant,ethnicity_region,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Luo people are loud and flamboyant,Kikuyu * Luo *
Kikuyu people are stingy with money,ethnicity_region,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Kikuyu people are stingy with money,Kikuyu * Luo *
Christians are honest,religion,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Christians are honest,Kikuyu * Luo *
Young people aren't reliable,age,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Young people aren't reliable,Kikuyu * Luo *
Old people aren't adaptable,age,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Old people aren't adaptable,Kikuyu * Luo *
Business people are dishonest,profession,19,Female  *,18–25 *,Employed *,Education *,Christianity  *,Kenya  *,Kenyan *,en,Business people are dishonest,Kikuyu * Luo *
Women are emotional,women,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,Women are emotional,Yoruba *
women are created weaker,women,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,women are created weaker,Yoruba *
women are meant to follow,women,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,women are meant to follow,Yoruba *
women should be covered and hidden from society,women,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,women should be covered and hidden from society,Yoruba *
women roles are in the kitchen,women,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,women roles are in the kitchen,Yoruba *
all women must have children or get married,women,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,all women must have children or get married,Yoruba *
Men are logical,men,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,es,Men are logical,Yoruba *
men are polygamous in nature,men,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,men are polygamous in nature,Yoruba *
men are not loved unconditionally,men,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,men are not loved unconditionally,Yoruba *
men are inherently correct,men,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,men are inherently correct,Yoruba *
men should be violent to prove their masculinity,men,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,men should be violent to prove their masculinity,Yoruba *
People from the east are better suited for businesses,ethnicity_region,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,People from the east are better suited for businesses,Yoruba *
Muslims are religious fanatics and extremists,religion,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,Muslims are religious fanatics and extremists,Yoruba *
Christians are accommodating,religion,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,Christians are accommodating,Yoruba *
traditional worshippers are evil,religion,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,traditional worshippers are evil,Yoruba *
Old people are always right,age,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,Old people are always right,Yoruba *
young people should not question authority,age,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,en,young people should not question authority,Yoruba *
Artisans are deceptive,profession,20,Female  *,26–35 *,Employed *,Experience Design  *,Islam  *,Nigeria *,Nigerian *,fr,Artisans are deceptive,Yoruba *
Women are weak,women,21,Male *,26–35 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,nl,Women are weak,Luo *
Men are violent,men,21,Male *,26–35 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,nl,Men are violent,Luo *
People from Luo are wife beaters,ethnicity_region,21,Male *,26–35 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,People from Luo are wife beaters,Luo *
Christians are racists,religion,21,Male *,26–35 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Christians are racists,Luo *
Old people are too quick to judge,age,21,Male *,26–35 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Old people are too quick to judge,Luo *
Doctors are cheaters,profession,21,Male *,26–35 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,en,Doctors are cheaters,Luo *
Muslims are smelly,misc,21,Male *,26–35 *,Self-employed *,,Christianity  *,Kenya  *,Kenyan *,et,Muslims are smelly,Luo *
Women are nurturing,women,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,ro,Women are nurturing,Luo *
women are emotional,women,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,women are emotional,Luo *
women are intuitive,women,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,women are intuitive,Luo *
women are social,women,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,women are social,Luo *
Men are logical,men,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,es,Men are logical,Luo *
men are protective,men,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,men are protective,Luo *
men are territorial,men,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,it,men are territorial,Luo *
men,men,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,id,men,Luo *
Luos are proud,ethnicity_region,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,fr,Luos are proud,Luo *
Luos are intellects,ethnicity_region,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,Luos are intellects,Luo *
Kikuyus are business savvy,ethnicity_region,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,et,Kikuyus are business savvy,Luo *
Kikuyus are matriarchal,ethnicity_region,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,sw,Kikuyus are matriarchal,Luo *
kalenjins are traditional,ethnicity_region,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,hr,kalenjins are traditional,Luo *
kambas are promiscuous,ethnicity_region,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,lt,kambas are promiscuous,Luo *
luhyas love ugali tea and chicken,ethnicity_region,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,luhyas love ugali tea and chicken,Luo *
Muslims are disciplined,religion,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,ro,Muslims are disciplined,Luo *
Muslims are conservative,religion,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,Muslims are conservative,Luo *
Christians are complacent,religion,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,Christians are complacent,Luo *
Old people are jaded,age,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,Old people are jaded,Luo *
young people are naive,age,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,young people are naive,Luo *
Doctors are underpaid,profession,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,ro,Doctors are underpaid,Luo *
teachers are underpaid,profession,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,teachers are underpaid,Luo *
accountants are boring,profession,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,en,accountants are boring,Luo *
politicians are corrupt,profession,22,Female  *,26–35 *,Employed *,Finance * Healthcare   *,Christianity  *,Kenya  *,Kenyan *,ro,politicians are corrupt,Luo *
Weak,women,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,sw,Weak,Yoruba *
domestic,women,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,pt,domestic,Yoruba *
emotional,women,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,emotional,Yoruba *
Strong,men,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,vi,Strong,Yoruba *
aggressive,men,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,it,aggressive,Yoruba *
leaders,men,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,es,leaders,Yoruba *
always competent,men,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,always competent,Yoruba *
People from the north are religious fanatics,ethnicity_region,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,People from the north are religious fanatics,Yoruba *
unexposed,ethnicity_region,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,fr,unexposed,Yoruba *
uneducated,ethnicity_region,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,uneducated,Yoruba *
lazy,ethnicity_region,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,pl,lazy,Yoruba *
generous; people from the east are entrepreneurial and untrustworthy; people from the southwest are loud,ethnicity_region,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,generous; people from the east are entrepreneurial and untrustworthy; people from the southwest are loud,Yoruba *
dirty,ethnicity_region,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,af,dirty,Yoruba *
highly educated.,ethnicity_region,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,highly educated.,Yoruba *
Muslims are extremists,religion,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,ca,Muslims are extremists,Yoruba *
traditional worshippers are diabolical,religion,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,traditional worshippers are diabolical,Yoruba *
Young people are lazy,age,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,Young people are lazy,Yoruba *
self-centred,age,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,self-centred,Yoruba *
tech-savvy,age,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,sk,tech-savvy,Yoruba *
creative,age,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,creative,Yoruba *
energetic; old people are closed-minded,age,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,energetic; old people are closed-minded,Yoruba *
stereotypical,age,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,stereotypical,Yoruba *
wise,age,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,de,wise,Yoruba *
frail,age,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,fr,frail,Yoruba *
Lawyers are articulate,profession,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,Lawyers are articulate,Yoruba *
doctors are smart,profession,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,doctors are smart,Yoruba *
engineers are smart,profession,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,nl,engineers are smart,Yoruba *
actors are vain and unserious,profession,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,actors are vain and unserious,Yoruba *
teachers are strict,profession,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,teachers are strict,Yoruba *
police officers are corrupt,profession,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,en,police officers are corrupt,Yoruba *
No,misc,23,Female  *,26–35 *,Employed *,Media and communications *,Islam  *,Canada *,Nigerian *,no,No,Yoruba *
Les femmes sont courageuses,women,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Women are courageous,Caucasienne
les femmes sont fortes,women,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Women are strong,Caucasienne
les femmes sont dépensières,women,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Women are spenders,Caucasienne
les femmes sont intéressées par l'argent,women,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Women are interested in money,Caucasienne
les femmes sont coquettes,women,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Women are flirtatious,Caucasienne
Les hommes sont infideles,men,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Men are unfaithful,Caucasienne
les hommes sont responsable du menage,men,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Men are responsible for the household,Caucasienne
Les serreres mangent du pain,ethnicity_region,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The greenhouses eat bread,Caucasienne
les femmes peuhls ont les cheveux longs,ethnicity_region,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Little women have long hair,Caucasienne
les Toucouleurs sont bruyants,ethnicity_region,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Toucouleurs are noisy,Caucasienne
les baols baols sont des commercants,ethnicity_region,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Baols Baols are traders,Caucasienne
les diolas sont propres,ethnicity_region,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Diolas are clean,Caucasienne
les Saint Lousiennes font le meilleur Tieb bou djeune,ethnicity_region,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The Saint Lousiennes make the best tieb bou djeune,Caucasienne
Les musulmans divorcent beaucoup,religion,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Muslims divorce a lot,Caucasienne
les chrétiens boivent l'alcool,religion,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Christians drink alcohol,Caucasienne
Les jeunes sont plus digitaux,age,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Young people are more digital,Caucasienne
les jeunes maitrisent le téléphone,age,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Young people master the phone,Caucasienne
les ainés conseillent les jeunes,age,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The elders advise young people,Caucasienne
les ainés maitrisent les traditions,age,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The elders master traditions,Caucasienne
Les tailleurs sont toujours en retard,profession,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The tailors are still late,Caucasienne
les tailleurs ne respectent pas les modeles,profession,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The tailors do not respect the models,Caucasienne
les artisans ne sont jamais a l'heure,profession,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Artisans are never on time,Caucasienne
les lébous aiment l'eau,profession,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Lébous love water,Caucasienne
les taximan sont impolis,profession,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Taximan is rude,Caucasienne
les banquiers sont des voleurs,profession,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Bankers are thieves,Caucasienne
les politiciens sont malhonnetes,profession,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Politicians are Malhonnetes,Caucasienne
Les libanais sont des commercants,misc,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Lebanese are traders,Caucasienne
les libanais sont des medecins,misc,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Lebanese are doctors,Caucasienne
les libanais ont achetés tout Dakar,misc,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The Lebanese bought everything Dakar,Caucasienne
les Sénégalais sont hypocrites,misc,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The Senegalese are hypocrites,Caucasienne
les femmes sénégalaises sont belles,misc,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,Senegalese women are beautiful,Caucasienne
les sénégalais sont sportifs,misc,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The Senegalese are sports,Caucasienne
les sénégalais sont acceuillants,misc,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The Senegalese are welcoming,Caucasienne
les sénégalais parlent bien francais,misc,24,Female  *,36–50 *,Employed *,Design *,Agnostique *,Senegal *,Francaise *,fr,The Senegalese speak French well,Caucasienne
Women need to work in the house,women,25,Female  *,36–50 *,Employed *,Education *,Christianity  *,South Africa *,South African *,en,Women need to work in the house,Caucasian
Men should be the main providers,men,25,Female  *,36–50 *,Employed *,Education *,Christianity  *,South Africa *,South African *,en,Men should be the main providers,Caucasian
White people are racist,ethnicity_region,25,Female  *,36–50 *,Employed *,Education *,Christianity  *,South Africa *,South African *,en,White people are racist,Caucasian
Muslims are terrorists,religion,25,Female  *,36–50 *,Employed *,Education *,Christianity  *,South Africa *,South African *,en,Muslims are terrorists,Caucasian
40 years are old,age,25,Female  *,36–50 *,Employed *,Education *,Christianity  *,South Africa *,South African *,en,40 years are old,Caucasian
Doctors earn a lot of money,profession,25,Female  *,36–50 *,Employed *,Education *,Christianity  *,South Africa *,South African *,en,Doctors earn a lot of money,Caucasian
Doctors are smart,misc,25,Female  *,36–50 *,Employed *,Education *,Christianity  *,South Africa *,South African *,en,Doctors are smart,Caucasian
Women supposes to be at home raise children,women,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,en,Women supposes to be at home raise children,Hausa *
Men are bread winners,men,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,en,Men are bread winners,Hausa *
men are strong,men,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,no,men are strong,Hausa *
men are leaders,men,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,da,men are leaders,Hausa *
men are protectors,men,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,en,men are protectors,Hausa *
Hausa people are uncivilized,ethnicity_region,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,ro,Hausa people are uncivilized,Hausa *
Hausa people don't support their wives to thrive,ethnicity_region,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,en,Hausa people don't support their wives to thrive,Hausa *
Muslims are religious extremist,religion,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,fr,Muslims are religious extremist,Hausa *
Christians are going to hell,religion,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,en,Christians are going to hell,Hausa *
Young adult don't know life,age,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,en,Young adult don't know life,Hausa *
Teachers salary is in heaven,profession,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,en,Teachers salary is in heaven,Hausa *
Metal scrapers are thieves,misc,26,Male *,26–35 *,Self-employed *,,Islam  *,Nigeria *,Nigerian *,en,Metal scrapers are thieves,Hausa *
Les femmes sont fortes,women,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,Women are strong,Wolof * Peulh *
les femmes peuvent faire plusieurs choses en même temps,women,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,Women can do several things at the same time,Wolof * Peulh *
les femmes sont tolérant aux infidélités de l'homme,women,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,Women are tolerant of human infidelities,Wolof * Peulh *
les hommes ne pleurent pas et partage pas leur émotions,men,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,Men do not cry and share their emotions,Wolof * Peulh *
Ils ont un sens inné du rythme,men,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,They have an innate sense of rhythm,Wolof * Peulh *
L’homme doit nourrir toute la famille,men,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,Man must feed the whole family,Wolof * Peulh *
les Saint Louisiennes sont qoquettes,ethnicity_region,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,The Saint Louisiennes are qcettes,Wolof * Peulh *
les peulh sont de petite taille,ethnicity_region,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,The Peulh are small,Wolof * Peulh *
les diola sont muscles et honnete,ethnicity_region,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,The diola are muscles and honest,Wolof * Peulh *
les musulmans sont difficiles et coinces,religion,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,Muslims are difficult and stuck,Wolof * Peulh *
les musulmans sont des djihadistes,religion,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,Muslims are jihadists,Wolof * Peulh *
on a des mouvements de sectes,religion,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,We have sectors,Wolof * Peulh *
les personnes ages sont matures,age,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,people are mature,Wolof * Peulh *
les transitaires ont beaucoup d'argent malhonnete,profession,27,Female  *,26–35 *,Employed *,Research *,Islam  *,Senegal *,Senegalese *,fr,Transners have a lot of money Malhonnete,Wolof * Peulh *
