stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
Medicine and law are royal profession. There is more money in oil jobs.Estate and trading are highly very lucrative,profession,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,There is more money in oil jobs,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",there,more money in oil jobs
Medicine and law are royal profession. There is more money in oil jobs.Estate and trading are highly very lucrative,profession,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Estate and trading are highly very lucrative,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",estate and trading,highly very lucrative
Some ethnic groups in the south east are cannibalistic. The north east and north west are fraught with beggers,misc,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Some ethnic groups in the south east are cannibalistic,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",some ethnic groups in the south east,cannibalistic
Some ethnic groups in the south east are cannibalistic. The north east and north west are fraught with beggers,misc,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,The north east and north west are fraught with beggers,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",the north east and north west,fraught with beggers
People from the Kikuyu group are business-savvy,ethnicity_region,37,Male,26–35 *,Employed *,Education * IT & Software   *,Other,Kenya,Kenyan,en,People from the Kikuyu group are business-savvy,['other'],people from the kikuyu,group are business-savvy
people from the Luo group are flashy,ethnicity_region,37,Male,26–35 *,Employed *,Education * IT & Software   *,Other,Kenya,Kenyan,en,people from the Luo group are flashy,['other'],people from the luo,group are flashy
Gay people are flamboyant,misc,37,Male,26–35 *,Employed *,Education * IT & Software   *,Other,Kenya,Kenyan,en,Gay people are flamboyant,['other'],gay people,are flamboyant
lesbians are butch,misc,37,Male,26–35 *,Employed *,Education * IT & Software   *,Other,Kenya,Kenyan,fr,lesbians are butch,['other'],lesbians,butch
les femmes serrées sont tres fonces de peau,women,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,tight women are very dark skin,['serrere'],tight women,very dark skin
les femmes serrées ne sont pas belles,women,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,tight women are not beautiful,['serrere'],tight women,not beautiful
un homme ne doit pas acheter des condiments,men,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,A man should not buy condiments,['serrere'],a,man should not buy condiments
les hommes sereres sont fiers,men,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Serere men are proud,['serrere'],serere men,proud
Les personnes du groupe ethniques serere sont des animistes,ethnicity_region,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,The people of the serere ethnic group are animists,['serrere'],the people,of the serere ethnic group are animists
Les personnes du groupe ethniques wolof sont espiègle,ethnicity_region,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Wolof ethnic groups are playful,['serrere'],wolof ethnic groups,playful
Les personnes du groupe ethniques diola sont muscles,ethnicity_region,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,The people of the ethnic diola group are muscles,['serrere'],the people,of the ethnic diola group are muscles
Les musulmans mourides sont tres généreux,religion,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Muslims Mourides are very generous,['serrere'],muslims mourides,very generous
les musulmans tidianes sont pingres,religion,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Tidian Muslims are penguins,['serrere'],tidian muslims,penguins
les sociologues sont des espions,profession,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Sociologists are spies,['serrere'],sociologists,spies
les taximens sont impolis,profession,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Taximens are rude,['serrere'],taximens,rude
l'homme est le chef de famille,misc,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,The man is the head of the family,['serrere'],the man,the head of the family
People from Benue are good and home people,ethnicity_region,39,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,People from Benue are good and home people,['tiv'],people from benue,are good and home people
therapist are special,profession,39,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,therapist are special,['tiv'],therapist,special
northern are lovely caring and homely,profession,39,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,northern are lovely caring and homely,['tiv'],northern,lovely caring and homely
Zulu's are aggressive,ethnicity_region,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,ro,Zulu's are aggressive,['other'],zulu's,aggressive
Zulu's are violent,ethnicity_region,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,ro,Zulu's are violent,['other'],zulu's,violent
Xhosa's are opportunistic,ethnicity_region,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,it,Xhosa's are opportunistic,['other'],xhosa's,opportunistic
Venda's are hard working and clever,ethnicity_region,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Venda's are hard working and clever,['other'],venda's,hard working and clever
Answered in the previous question,religion,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Answered in the previous question,['other'],answered,in the previous question
ld people are needy,age,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,ld people are needy,['other'],ld people,are needy
Blue collar workers are hard working,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Blue collar workers are hard working,['other'],blue collar workers,hard working
Blur collar workers are conservative,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Blur collar workers are conservative,['other'],blur collar workers,conservative
Hospitality workers are happy go lucky,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Hospitality workers are happy go lucky,['other'],hospitality workers,happy go lucky
Bartenders are good listeners,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,nl,Bartenders are good listeners,['other'],bartenders,good listeners
Government workers are lazy and could care less,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Government workers are lazy and could care less,['other'],government workers,lazy and could care less
Researchers are only interested in publishing and not solving problems,misc,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Researchers are only interested in publishing and not solving problems,['other'],researchers,only interested in publishing and not solving problems
les sereres sont fièrs,ethnicity_region,41,Female,26–35 *,Employed *,Research  *,Islam,Senegal,Senegalese,fr,Sereres are free,['serrere'],sereres,free
les chétiens sont bien éduqués,religion,41,Female,26–35 *,Employed *,Research  *,Islam,Senegal,Senegalese,fr,The Chétians are well educated,['serrere'],the chétians,well educated
les sages femmes sont impolies,profession,41,Female,26–35 *,Employed *,Research  *,Islam,Senegal,Senegalese,fr,Sages women are rude,['serrere'],sages women,rude
les vendeurs ambulants sont teigneux,profession,41,Female,26–35 *,Employed *,Research  *,Islam,Senegal,Senegalese,fr,itinerant sellers are heartbreaking,['serrere'],itinerant sellers,heartbreaking
Ebiras are aggressive,ethnicity_region,43,Male,26–35 *,Employed *,Agriculture *,Islam,Nigeria,Nigerian,it,Ebiras are aggressive,['ebira'],ebiras,aggressive
Terrorist are mostly islamist,religion,43,Male,26–35 *,Employed *,Agriculture *,Islam,Nigeria,Nigerian,en,Terrorist are mostly islamist,['ebira'],terrorist,mostly islamist
People from northern Nigeria are mostly farmers,ethnicity_region,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,People from northern Nigeria are mostly farmers,['hausa'],people from northern,nigeria are mostly farmers
people from northern Nigeria likes giving birth,ethnicity_region,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,people from northern Nigeria likes giving birth,['hausa'],people from northern,nigeria likes giving birth
northern Nigeria are over populated.,ethnicity_region,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,northern Nigeria are over populated,['hausa'],northern nigeria,over populated
muslim are polygamous,religion,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,lt,muslim are polygamous,['hausa'],muslim,polygamous
Female are compassionate,misc,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,it,Female are compassionate,['hausa'],female,compassionate
edo people are diabolical and full of witchcraft,misc,45,Male,26–35 *,Employed *,Hospitality   *,Christianity,Nigeria,Nigerian,en,edo people are diabolical and full of witchcraft,['igbo'],edo people,are diabolical and full of witchcraft
edo youth are full of cultism,misc,45,Male,26–35 *,Employed *,Hospitality   *,Christianity,Nigeria,Nigerian,en,edo youth are full of cultism,['igbo'],edo youth,full of cultism
Black people are violent.,ethnicity_region,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,en,Black people are violent,['other_black'],black people,are violent
Chinese are smart.,ethnicity_region,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,en,Chinese are smart,['other_black'],chinese,smart
French are overly romantic/erotic.,ethnicity_region,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,en,French are overly romantic/erotic,['other_black'],french,overly romantic/erotic
why do they have thousands of churches? Can't they just agree on one?,religion,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,en,why do they have thousands of churches,['other_black'],why do they,thousands of churches
why do they have thousands of churches? Can't they just agree on one?,religion,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,en,Can't they just agree on one,['other_black'],can't,they just agree on one
Nuns are also cruel,profession,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,ca,Nuns are also cruel,['other_black'],nuns,also cruel
Les wolofs sont arrogants,ethnicity_region,47,Female,26–35 *,Employed *,Finance *,Islam,Senegal,Senegalese,en,Les wolofs sont arrogants,['wolof'],les,wolofs sont arrogants
Les serveuses ne sont pas aimables,profession,47,Female,26–35 *,Employed *,Finance *,Islam,Senegal,Senegalese,fr,The waitresses are not friendly,['wolof'],the waitresses,not friendly
les taximans sont agressifs,profession,47,Female,26–35 *,Employed *,Finance *,Islam,Senegal,Senegalese,fr,Taximans are aggressive,['wolof'],taximans,aggressive
People from the USA are blabbermouths,ethnicity_region,48,Male,Over 50 *,Employed *,Education *,Atheism,Other Country,Other Nationality,en,People from the USA are blabbermouths,['other'],people from the usa,are blabbermouths
techbros are toxic,misc,48,Male,Over 50 *,Employed *,Education *,Atheism,Other Country,Other Nationality,es,techbros are toxic,['other'],techbros,toxic
Only a woman knows the father of her child.,women,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,en,Only a woman knows the father of her child,['yoruba'],only,a woman knows the father of her child
Good Men are rare,men,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,en,Good Men are rare,['yoruba'],good men,rare
because they can kill over little things and call it Jihad,religion,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,en,because they can kill over little things and call it Jihad,['yoruba'],because,they can kill over little things and call it jihad
Gen Z's are lazy,age,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,es,Gen Z's are lazy,['yoruba'],gen z's,lazy
Makeup artist are very wicked people,profession,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,en,Makeup artist are very wicked people,['yoruba'],makeup artist,very wicked people
Motor mechanics are not to be trusted,profession,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,en,Motor mechanics are not to be trusted,['yoruba'],motor mechanics,not to be trusted
Christinas are saved,religion,50,Female,36–50 *,Employed *,Healthcare   *,Christianity,Kenya,Kenyan,en,Christinas are saved,['kikuyu'],christinas,saved
Les femmes courtes de taille sont fortes de caractère,women,51,Female,26–35 *,Employed *,Aviation  *,Islam,Senegal,Senegalese,fr,Short women are strong in character,['serrere'],short women,strong in character
Les Sereres (mit Ein einen r bitte) sont foncés de peaux,ethnicity_region,51,Female,26–35 *,Employed *,Aviation  *,Islam,Senegal,Senegalese,fr,The sereres (Mit Ein Einen R Bitte) are dark with skins,['serrere'],the sereres (mit ein einen r bitte),dark with skins
Les adultes savent tout,age,51,Female,26–35 *,Employed *,Aviation  *,Islam,Senegal,Senegalese,fr,Adults know everything,['serrere'],adults,know everything
Les Al Pulaar sont racistes,misc,51,Female,26–35 *,Employed *,Aviation  *,Islam,Senegal,Senegalese,fr,The Al Pulaar are racist,['serrere'],the al pulaar,racist
Alpha provider,men,52,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,pt,Alpha provider,['yoruba'],alpha,provider
Christians think they are morally superior,religion,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Christians think they are morally superior,['yoruba'],christians think they,morally superior
atheists think they are smarter than others.,religion,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,atheists think they are smarter than others,['yoruba'],atheists think they,smarter than others
Gender & Sexuality:,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Gender & Sexuality:,['yoruba'],gender,& sexuality:
Gay men are flamboyant,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,es,Gay men are flamboyant,['yoruba'],gay men,flamboyant
gay men are fashionable,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,gay men are fashionable,['yoruba'],gay men,fashionable
lesbians are masculine,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,lesbians are masculine,['yoruba'],lesbians,masculine
bisexuals are confused,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,bisexuals are confused,['yoruba'],bisexuals,confused
trans people are attention seekers,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,trans people are attention seekers,['yoruba'],trans people,are attention seekers
asexual people are cold,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,asexual people are cold,['yoruba'],asexual people,are cold
Body Type & Appearance:,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Body Type & Appearance:,['yoruba'],body,type & appearance:
muscular people are not intelligent,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,muscular people are not intelligent,['yoruba'],muscular people,are not intelligent
attractive people are shallow,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,attractive people are shallow,['yoruba'],attractive people,are shallow
Social Class:,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,Social Class:,['yoruba'],social,class:
middle-class people are pretentious,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,middle-class people are pretentious,['yoruba'],middle-class people,are pretentious
upper-class people are disconnected from reality,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,upper-class people are disconnected from reality,['yoruba'],upper-class people,are disconnected from reality
Education Level:,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Education Level:,['yoruba'],education,level:
Uneducated people are ignorant,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Uneducated people are ignorant,['yoruba'],uneducated people,are ignorant
uneducated people are violent,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,uneducated people are violent,['yoruba'],uneducated people,are violent
educated people are arrogant,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,educated people are arrogant,['yoruba'],educated people,are arrogant
educated people lack common sense,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,educated people lack common sense,['yoruba'],educated people,lack common sense
British people are polite,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,British people are polite,['yoruba'],british people,are polite
British people are emotionally repressed,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,British people are emotionally repressed,['yoruba'],british people,are emotionally repressed
Germans are strict,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Germans are strict,['yoruba'],germans,strict
Germans are efficient,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,fr,Germans are efficient,['yoruba'],germans,efficient
French people are romantic,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,French people are romantic,['yoruba'],french people,are romantic
French people are snobbish,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,French people are snobbish,['yoruba'],french people,are snobbish
Chinese people are hardworking,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Chinese people are hardworking,['yoruba'],chinese people,are hardworking
Chinese people are robotic,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Chinese people are robotic,['yoruba'],chinese people,are robotic
South Africans are violent,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,South Africans are violent,['yoruba'],south africans,violent
South Africans are friendly,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,South Africans are friendly,['yoruba'],south africans,friendly
Indians are tech-savvy,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Indians are tech-savvy,['yoruba'],indians,tech-savvy
Indians are overly traditional,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Indians are overly traditional,['yoruba'],indians,overly traditional
Brazilians are fun-loving,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,Brazilians are fun-loving,['yoruba'],brazilians,fun-loving
Brazilians are party animals,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Brazilians are party animals,['yoruba'],brazilians,party animals
Russians are cold,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Russians are cold,['yoruba'],russians,cold
Russians are tough,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Russians are tough,['yoruba'],russians,tough
Religion (additional):,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,it,Religion (additional):,['yoruba'],religion,(additional):
Evangelicals are fanatical,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,Evangelicals are fanatical,['yoruba'],evangelicals,fanatical
Catholics are guilt-ridden,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Catholics are guilt-ridden,['yoruba'],catholics,guilt-ridden
Pentecostals are loud,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,Pentecostals are loud,['yoruba'],pentecostals,loud
Lifestyle & Preferences:,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Lifestyle & Preferences:,['yoruba'],lifestyle,& preferences:
influencers are fake,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,influencers are fake,['yoruba'],influencers,fake
single people are lonely,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,it,single people are lonely,['yoruba'],single people,are lonely
married people are boring,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,married people are boring,['yoruba'],married people,are boring
working mothers are neglectful,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,working mothers are neglectful,['yoruba'],working mothers,neglectful
homeschooled kids are antisocial,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,homeschooled kids are antisocial,['yoruba'],homeschooled kids,antisocial
only children are spoiled,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,only children are spoiled,['yoruba'],only children,spoiled
A woman is meant to be in the kitchen,women,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,A woman is meant to be in the kitchen,['yoruba'],a woman,meant to be in the kitchen
A woman was created for giving birth alone,women,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,A woman was created for giving birth alone,['yoruba'],a woman,created for giving birth alone
A woman cannot head a home,women,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,A woman cannot head a home,['yoruba'],a,woman cannot head a home
Every man is a potential rapist,men,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Every man is a potential rapist,['yoruba'],every man,a potential rapist
Northerns are the highest perpetrators of banditry,ethnicity_region,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Northerns are the highest perpetrators of banditry,['yoruba'],northerns,the highest perpetrators of banditry
Christain is the only true religion,religion,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Christain is the only true religion,['yoruba'],christain,the only true religion
Islam is full of wickedness,religion,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Islam is full of wickedness,['yoruba'],islam,full of wickedness
Handwork is for unlearned people,profession,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Handwork is for unlearned people,['yoruba'],handwork,for unlearned people
a teacher’s reward is in heaven,profession,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,a teacher’s reward is in heaven,['yoruba'],a teacher’s reward,in heaven
police is not your friend,profession,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,fr,police is not your friend,['yoruba'],police,not your friend
Igala people are aggressive,ethnicity_region,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,it,Igala people are aggressive,['fulani'],igala people,are aggressive
fulanis are kidnappers,ethnicity_region,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,sv,fulanis are kidnappers,['fulani'],fulanis,kidnappers
the old people are wise,age,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,en,the old people are wise,['fulani'],the old people,are wise
Doctors/nurses are promiscuous,profession,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,fr,Doctors/nurses are promiscuous,['fulani'],doctors/nurses,promiscuous
uniform personnel are promiscuous,profession,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,it,uniform personnel are promiscuous,['fulani'],uniform personnel,promiscuous
Youruba men are refreed to as demons when it comes to relationships.,misc,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,en,Youruba men are refreed to as demons when it comes to relationships,['fulani'],youruba men,refreed to as demons when it comes to relationships
women want to get married and have kids,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,nl,women want to get married and have kids,['yoruba'],women want to get married and,kids
Christians believe they are morally superior,religion,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Christians believe they are morally superior,['yoruba'],christians believe they,morally superior
stay-at-home moms are nurturing,misc,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,stay-at-home moms are nurturing,['yoruba'],stay-at-home moms,nurturing
stay-at-home dads are lazy,misc,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,stay-at-home dads are lazy,['yoruba'],stay-at-home dads,lazy
a man showing emotion is weak,men,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,a man showing emotion is weak,['yoruba'],a man showing emotion,weak
mean should shoulder all the family responsibilities,men,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,mean should shoulder all the family responsibilities,['yoruba'],mean,should shoulder all the family responsibilities
ladies from Calabar are sex machines,ethnicity_region,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,ladies from Calabar are sex machines,['yoruba'],ladies from calabar,sex machines
Lagos ladies are gold diggers,ethnicity_region,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,af,Lagos ladies are gold diggers,['yoruba'],lagos ladies,gold diggers
Jehovah Witness are not smart,religion,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,Jehovah Witness are not smart,['yoruba'],jehovah witness,not smart
Old Nigerians are responsible for the bad state of the country,age,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,Old Nigerians are responsible for the bad state of the country,['yoruba'],old nigerians,responsible for the bad state of the country
young Nigerians are lazy,age,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,young Nigerians are lazy,['yoruba'],young nigerians,lazy
white collar job workers are not economically okay,profession,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,white collar job workers are not economically okay,['yoruba'],white collar job workers,not economically okay
Religious leaders are wise,profession,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,Religious leaders are wise,['yoruba'],religious leaders,wise
Already provided,misc,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,Already provided,['yoruba'],already,provided
Men are not allowed to show emotions so as not to be perceived weak. Men are of higher societal value than women.Men are mini God's who are to be worshipped and obeyed unconditionally.  Hard works are for men,men,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Hard works are for men,['yoruba'],hard works,for men
soft works for women. House chores are for women only.,men,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,House chores are for women only,['yoruba'],house chores,for women only
Christains are peaceful and accommodating. Muslims are aggressive and violent.,religion,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Christains are peaceful and accommodating,['yoruba'],christains,peaceful and accommodating
reserved and insightful,age,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,reserved and insightful,['yoruba'],reserved,and insightful
Journalists are extroverts! Fashion designers are tailors!Human Doctors are better than vets.,profession,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Fashion designers are tailors,['yoruba'],fashion designers,tailors
Journalists are extroverts! Fashion designers are tailors!Human Doctors are better than vets.,profession,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Human Doctors are better than vets,['yoruba'],human doctors,better than vets
In religious,misc,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,In religious,['yoruba'],in,religious
political and social settings there are positions women are not allowed to occupy.,misc,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,political and social settings there are positions women are not allowed to occupy,['yoruba'],political and social settings there,positions women are not allowed to occupy
Computer scientist should be in cyber cafe,profession,60,Male,18–25 *,A student *,,Christianity,Nigeria,Nigerian,en,Computer scientist should be in cyber cafe,['yoruba'],computer scientist,in cyber cafe
Women like money and are overly emotional.,women,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Women like money and are overly emotional,['yoruba'],women like money and,overly emotional
money centric,ethnicity_region,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,it,money centric,['yoruba'],money,centric
violent prone.,ethnicity_region,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,fr,violent prone,['yoruba'],violent,prone
Traditional worshipper as diabolical.,religion,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Traditional worshipper as diabolical,['yoruba'],traditional,worshipper as diabolical
Policemen and women are corrupt.,profession,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Policemen and women are corrupt,['yoruba'],policemen and women,corrupt
Civil Servants are unproductive.,profession,61,Female,26–35 *,Employed *,Safety and Security  *,Christianity,Nigeria,Nigerian,en,Civil Servants are unproductive,['yoruba'],civil servants,unproductive
