,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,ethnic_identity,identity_term,attribute_term
487,women are social,women,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,women are social,['luo'],women,social
488,Men are logical,men,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,es,Men are logical,['luo'],men,logical
489,men are protective,men,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,men are protective,['luo'],men,protective
490,men are territorial,men,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,it,men are territorial,['luo'],men,territorial
491,men,men,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,id,men,['luo'],men,men
492,Luos are proud,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,fr,Luos are proud,['luo'],luos,proud
493,Luos are intellects,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,Luos are intellects,['luo'],luos,intellects
494,Kikuyus are business savvy,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,et,Kikuyus are business savvy,['luo'],kikuyus,business savvy
495,Kikuyus are matriarchal,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,sw,Kikuyus are matriarchal,['luo'],kikuyus,matriarchal
496,kalenjins are traditional,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,hr,kalenjins are traditional,['luo'],kalenjins,traditional
499,Muslims are disciplined,religion,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,ro,Muslims are disciplined,['luo'],muslims,disciplined
500,Muslims are conservative,religion,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,Muslims are conservative,['luo'],muslims,conservative
501,Christians are complacent,religion,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,Christians are complacent,['luo'],christians,complacent
502,Old people are jaded,age,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,Old people are jaded,['luo'],old people,are jaded
503,young people are naive,age,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,young people are naive,['luo'],young people,are naive
504,Doctors are underpaid,profession,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,ro,Doctors are underpaid,['luo'],doctors,underpaid
505,teachers are underpaid,profession,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,teachers are underpaid,['luo'],teachers,underpaid
506,accountants are boring,profession,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,accountants are boring,['luo'],accountants,boring
507,politicians are corrupt,profession,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,ro,politicians are corrupt,['luo'],politicians,corrupt
508,Weak,women,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,sw,Weak,['yoruba'],women,weak
509,domestic,women,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,pt,domestic,['yoruba'],women,domestic
510,emotional,women,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,emotional,['yoruba'],women,emotional
511,Strong,men,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,vi,Strong,['yoruba'],men,strong
512,aggressive,men,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,it,aggressive,['yoruba'],men,aggressive
513,leaders,men,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,es,leaders,['yoruba'],men,leaders
515,People from the north are religious fanatics,ethnicity_region,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,People from the north are religious fanatics,['yoruba'],people from the north,are religious fanatics
521,highly educated.,ethnicity_region,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,highly educated,['yoruba'],highly,educated
522,Muslims are extremists,religion,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,ca,Muslims are extremists,['yoruba'],muslims,extremists
523,traditional worshippers are diabolical,religion,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,traditional worshippers are diabolical,['yoruba'],traditional worshippers,diabolical
524,Young people are lazy,age,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,Young people are lazy,['yoruba'],young people,are lazy
532,Lawyers are articulate,profession,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,Lawyers are articulate,['yoruba'],lawyers,articulate
533,doctors are smart,profession,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,doctors are smart,['yoruba'],doctors,smart
534,engineers are smart,profession,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,nl,engineers are smart,['yoruba'],engineers,smart
535,actors are vain and unserious,profession,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,actors are vain and unserious,['yoruba'],actors,vain and unserious
536,teachers are strict,profession,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,teachers are strict,['yoruba'],teachers,strict
537,police officers are corrupt,profession,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,police officers are corrupt,['yoruba'],police officers,corrupt
539,Les femmes sont courageuses,women,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Women are courageous,['caucasian'],women,courageous
540,les femmes sont fortes,women,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Women are strong,['caucasian'],women,strong
541,les femmes sont dépensières,women,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Women are spenders,['caucasian'],women,spenders
542,les femmes sont intéressées par l'argent,women,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Women are interested in money,['caucasian'],women,interested in money
543,les femmes sont coquettes,women,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Women are flirtatious,['caucasian'],women,flirtatious
544,Les hommes sont infideles,men,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Men are unfaithful,['caucasian'],men,unfaithful
545,les hommes sont responsable du menage,men,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Men are responsible for the household,['caucasian'],men,responsible for the household
552,Les musulmans divorcent beaucoup,religion,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Muslims divorce a lot,['caucasian'],muslims,divorce a lot
553,les chrétiens boivent l'alcool,religion,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Christians drink alcohol,['caucasian'],christians,drink alcohol
554,Les jeunes sont plus digitaux,age,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Young people are more digital,['caucasian'],young people,are more digital
555,les jeunes maitrisent le téléphone,age,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Young people master the phone,['caucasian'],young people,master the phone
556,les ainés conseillent les jeunes,age,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,The elders advise young people,['caucasian'],young people,
559,les tailleurs ne respectent pas les modeles,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,The tailors do not respect the models,['caucasian'],tailors,do not respect the models
560,les artisans ne sont jamais a l'heure,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Artisans are never on time,['caucasian'],artisans,never on time
563,les banquiers sont des voleurs,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Bankers are thieves,['caucasian'],bankers,thieves
564,les politiciens sont malhonnetes,profession,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Politicians are Malhonnetes,['caucasian'],politicians,malhonnetes
568,les Sénégalais sont hypocrites,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,The Senegalese are hypocrites,['caucasian'],senegalese,hypocrites
569,les femmes sénégalaises sont belles,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,Senegalese women are beautiful,['caucasian'],senegalese women,beautiful
570,les sénégalais sont sportifs,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,The Senegalese are sports,['caucasian'],senegalese,sports
571,les sénégalais sont acceuillants,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,The Senegalese are welcoming,['caucasian'],senegalese,welcoming
572,les sénégalais parlent bien francais,misc,24,Female,36–50 *,Employed *,Design *,Agnostic,Senegal,Other Nationality,fr,The Senegalese speak French well,['caucasian'],senegalese,speak french well
573,Women need to work in the house,women,25,Female,36–50 *,Employed *,Education *,Christianity,Other Country,Other Nationality,en,Women need to work in the house,['caucasian'],women,need to work in the house
574,Men should be the main providers,men,25,Female,36–50 *,Employed *,Education *,Christianity,Other Country,Other Nationality,en,Men should be the main providers,['caucasian'],men,the main providers
575,White people are racist,ethnicity_region,25,Female,36–50 *,Employed *,Education *,Christianity,Other Country,Other Nationality,en,White people are racist,['caucasian'],white people,are racist
576,Muslims are terrorists,religion,25,Female,36–50 *,Employed *,Education *,Christianity,Other Country,Other Nationality,en,Muslims are terrorists,['caucasian'],muslims,terrorists
578,Doctors earn a lot of money,profession,25,Female,36–50 *,Employed *,Education *,Christianity,Other Country,Other Nationality,en,Doctors earn a lot of money,['caucasian'],doctors,earn a lot of money
579,Doctors are smart,misc,25,Female,36–50 *,Employed *,Education *,Christianity,Other Country,Other Nationality,en,Doctors are smart,['caucasian'],doctors,smart
580,Women supposes to be at home raise children,women,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,Women supposes to be at home raise children,['hausa'],children,
581,Men are bread winners,men,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,Men are bread winners,['hausa'],men,bread winners
582,men are strong,men,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,no,men are strong,['hausa'],men,strong
583,men are leaders,men,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,da,men are leaders,['hausa'],men,leaders
584,men are protectors,men,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,men are protectors,['hausa'],men,protectors
585,Hausa people are uncivilized,ethnicity_region,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,ro,Hausa people are uncivilized,['hausa'],hausa,are uncivilized
586,Hausa people don't support their wives to thrive,ethnicity_region,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,Hausa people don't support their wives to thrive,['hausa'],hausa,don't support their wives to thrive
587,Muslims are religious extremist,religion,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,fr,Muslims are religious extremist,['hausa'],muslims,religious extremist
588,Christians are going to hell,religion,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,Christians are going to hell,['hausa'],christians,going to hell
589,Young adult don't know life,age,26,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,Young adult don't know life,['hausa'],young,adult don't know life
592,Les femmes sont fortes,women,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Women are strong,"['wolof', 'peulh']",women,strong
593,les femmes peuvent faire plusieurs choses en même temps,women,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Women can do several things at the same time,"['wolof', 'peulh']",women,can do several things at the same time
594,les femmes sont tolérant aux infidélités de l'homme,women,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Women are tolerant of human infidelities,"['wolof', 'peulh']",women,tolerant of human infidelities
595,les hommes ne pleurent pas et partage pas leur émotions,men,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Men do not cry and share their emotions,"['wolof', 'peulh']",men,do not cry and share their emotions
596,Ils ont un sens inné du rythme,men,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,They have an innate sense of rhythm,"['wolof', 'peulh']",men,have an innate sense of rhythm
601,les musulmans sont difficiles et coinces,religion,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Muslims are difficult and stuck,"['wolof', 'peulh']",muslims,difficult and stuck
602,les musulmans sont des djihadistes,religion,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,Muslims are jihadists,"['wolof', 'peulh']",muslims,jihadists
604,les personnes ages sont matures,age,27,Female,26–35 *,Employed *,Research *,Islam,Senegal,Senegalese,fr,people are mature,"['wolof', 'peulh']",people,are mature
607,Strong,women,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,vi,Strong,"['kikuyu', 'luo']",women,strong
608,Educated,women,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Educated,"['kikuyu', 'luo']",women,educated
609,Nurturing,women,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,lt,Nurturing,"['kikuyu', 'luo']",women,nurturing
610,Caring,women,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Caring,"['kikuyu', 'luo']",women,caring
611,Empathetic,women,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Empathetic,"['kikuyu', 'luo']",women,empathetic
612,Beautiful,women,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,fr,Beautiful,"['kikuyu', 'luo']",women,beautiful
613,Girlhood,women,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,pt,Girlhood,"['kikuyu', 'luo']",women,girlhood
614,Stylish,women,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Stylish,"['kikuyu', 'luo']",women,stylish
615,Leader,men,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,pt,Leader,"['kikuyu', 'luo']",men,leader
617,people from Nigeria are funny,ethnicity_region,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,no,people from Nigeria are funny,"['kikuyu', 'luo']",people from nigeria,are funny
618,People from Nigeria are loud,ethnicity_region,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,People from Nigeria are loud,"['kikuyu', 'luo']",people from nigeria,are loud
621,Muslims are devoted,religion,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Muslims are devoted,"['kikuyu', 'luo']",muslims,devoted
622,Christians are judgemental,religion,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,nl,Christians are judgemental,"['kikuyu', 'luo']",christians,judgemental
623,Christians are community focussed,religion,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Christians are community focussed,"['kikuyu', 'luo']",christians,community focussed
624,Young people are innovative,age,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Young people are innovative,"['kikuyu', 'luo']",young people,are innovative
625,Young people are impatient,age,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Young people are impatient,"['kikuyu', 'luo']",young people,are impatient
626,old people are traditional,age,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,old people are traditional,"['kikuyu', 'luo']",old people,are traditional
627,old people are inconsiderate,age,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,old people are inconsiderate,"['kikuyu', 'luo']",old people,are inconsiderate
628,young people are non-committal,age,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,young people are non-committal,"['kikuyu', 'luo']",young people,are non-committal
629,Teachers are kind,profession,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Teachers are kind,"['kikuyu', 'luo']",teachers,kind
630,Lawyers are ruthless,profession,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Lawyers are ruthless,"['kikuyu', 'luo']",lawyers,ruthless
631,Artists are creative,profession,29,Female,18–25 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Artists are creative,"['kikuyu', 'luo']",artists,creative
634,Women are caregivers,women,30,Male,26–35 *,Employed *,Engineering  *,Christianity,Kenya,Kenyan,en,Women are caregivers,"['kikuyu', 'luo']",women,caregivers
635,Men are providers,men,30,Male,26–35 *,Employed *,Engineering  *,Christianity,Kenya,Kenyan,da,Men are providers,"['kikuyu', 'luo']",men,providers
636,People from the west are aesthetics,ethnicity_region,30,Male,26–35 *,Employed *,Engineering  *,Christianity,Kenya,Kenyan,en,People from the west are aesthetics,"['kikuyu', 'luo']",people from the west,are aesthetics
637,Traditional worshippers are backward,religion,30,Male,26–35 *,Employed *,Engineering  *,Christianity,Kenya,Kenyan,en,Traditional worshippers are backward,"['kikuyu', 'luo']",traditional worshippers,backward
638,Young people are immature,age,30,Male,26–35 *,Employed *,Engineering  *,Christianity,Kenya,Kenyan,en,Young people are immature,"['kikuyu', 'luo']",young people,are immature
639,Traders are persuasive,profession,30,Male,26–35 *,Employed *,Engineering  *,Christianity,Kenya,Kenyan,pt,Traders are persuasive,"['kikuyu', 'luo']",traders,persuasive
640,People are lightweight,misc,30,Male,26–35 *,Employed *,Engineering  *,Christianity,Kenya,Kenyan,en,People are lightweight,"['kikuyu', 'luo']",people,are lightweight
641,Les femmes ne sont pas malignes,women,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Women are not malignant,['wolof'],women,not malignant
642,les femmes sont problématiques,women,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Women are problematic,['wolof'],women,problematic
643,Les hommes sont les chefs,men,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Men are the chiefs,['wolof'],men,the chiefs
644,les hommes ont trop de charges,men,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Men have too many charges,['wolof'],men,too many charges
646,les peulhs aiment se marier en famille,ethnicity_region,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Peulhs like to get married with family,['wolof'],peulhs,like to get married with family
647,Les chrétiens sont bien éduques,religion,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Christians are well educated,['wolof'],christians,well educated
649,Les jeunes sont impolis,age,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Young people are rude,['wolof'],young people,are rude
650,les vieux sont des privilégiés,age,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Old people are privileged,['wolof'],old people,are privileged
653,Les femmes sont matérialistes,misc,31,Female,26–35 *,Unemployed *,,Islam,Senegal,Senegalese,fr,Women are materialists,['wolof'],women,materialists
654,Women are caring,women,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,Women are caring,['luo'],women,caring
655,Women are emotional thinkers,women,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,Women are emotional thinkers,['luo'],women,emotional thinkers
656,Women are hardworking,women,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,af,Women are hardworking,['luo'],women,hardworking
657,Men are providers,men,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,da,Men are providers,['luo'],men,providers
658,Men are strategic thinkers,men,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,Men are strategic thinkers,['luo'],men,strategic thinkers
659,Kalenjins are traditional,ethnicity_region,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,sq,Kalenjins are traditional,['luo'],kalenjins,traditional
660,Kikuyus are street smart,ethnicity_region,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,et,Kikuyus are street smart,['luo'],kikuyus,street smart
661,Luos are extravagant,ethnicity_region,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,ca,Luos are extravagant,['luo'],luos,extravagant
662,Muslims are generous,religion,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,af,Muslims are generous,['luo'],muslims,generous
663,Christians are judgmental,religion,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,fr,Christians are judgmental,['luo'],christians,judgmental
664,Old people are risk averse,age,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,no,Old people are risk averse,['luo'],old people,are risk averse
665,old people are ambitious,age,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,old people are ambitious,['luo'],old people,are ambitious
666,young people are spontaneous,age,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,young people are spontaneous,['luo'],young people,are spontaneous
667,young people are self actualized,age,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,young people are self actualized,['luo'],young people,are self actualized
671,doctors are smart,profession,32,Male,26–35 *,Employed *,Management Consulting *,Christianity,Kenya,Kenyan,en,doctors are smart,['luo'],doctors,smart
674,Les femmes ne sont pas voyantes,women,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Women are not showy,"['wolof', 'peulh']",women,not showy
675,les femmes ont un esprit court comme leur sein,women,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Women have a short spirit as their breast,"['wolof', 'peulh']",women,a short spirit as their breast
676,les femmes sont incomplètes et c'est pourquoi elles changent de domicile après le mariage.,women,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Women are incomplete and that is why they change their homes after marriage,"['wolof', 'peulh']",women,incomplete and that is why they change their homes after marriage
677,Les hommes sont fort,men,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Men are strong,"['wolof', 'peulh']",men,strong
678,les hommes sont previsibles,men,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Men are predictable,"['wolof', 'peulh']",men,predictable
679,les hommes sont complets ( physiquement),men,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Men are complete (physically),"['wolof', 'peulh']",men,complete (physically)
680,Les peulhs sont sales,ethnicity_region,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,The Peulhs are dirty,"['wolof', 'peulh']",the peulhs,dirty
682,Les chrétiens sont éduqué,religion,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Christians are educated,"['wolof', 'peulh']",christians,educated
683,Les jeunes sont irresponsable,age,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Young people are irresponsible,"['wolof', 'peulh']",young people,are irresponsible
685,les avocats sont riches,profession,33,Female,26–35 *,Self-employed *,,Islam,Senegal,Senegalese,fr,Lawyers are rich,"['wolof', 'peulh']",lawyers,rich
687,Les femmes sont fragiles,women,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Women are fragile,['fon'],women,fragile
688,les femmes sont faibles,women,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Women are weak,['fon'],women,weak
689,les femmes sont inferieurs aux hommes,women,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Women are inferior to men,['fon'],women,inferior to men
690,les femmes doivent rester à la maison pour s'occuper des enfants,women,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Women must stay at home to take care of children,['fon'],children,
691,les femmes sont celles qui éduquent les enfants,women,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Women are the ones that educate children,['fon'],women,the ones that educate children
692,Les hommes sont forts,men,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Men are strong,['fon'],men,strong
693,les hommes sont le socle de la famille,men,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Men are the family base,['fon'],men,the family base
694,les hommes doivent rapporter l'argent à la maison,men,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Men must bring money home,['fon'],men,must bring money home
695,les hommes ne sont pas sensibles,men,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Men are not sensitive,['fon'],men,not sensitive
696,les hommes ne doivent pas pleurer,men,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Men must not cry,['fon'],men,must not cry
697,les hommes ne doivent pas montrer leurs emotions,men,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Men must not show their emotions,['fon'],men,must not show their emotions
698,les hommes sont infidèles,men,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Men are unfaithful,['fon'],men,unfaithful
699,les hommes ne sont pas digne de confiance,men,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Men are not trustworthy,['fon'],men,not trustworthy
701,les musulmans sont sale,ethnicity_region,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Muslims are dirty,['fon'],muslims,dirty
702,Les musulmans sont sales,religion,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Muslims are dirty,['fon'],muslims,dirty
704,Les jeunes sont inconscients,age,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Young people are unconscious,['fon'],young people,are unconscious
705,les jeunes sont frivoles,age,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Young people are frivolous,['fon'],young people,are frivolous
706,les jeunes sont immatures,age,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Young people are immature,['fon'],young people,are immature
707,les jeunes sont trop capricieux,age,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Young people are too capricious,['fon'],young people,are too capricious
709,les traders sont inconscients,profession,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Traders are unconscious,['fon'],traders,unconscious
710,les avocats sont des menteurs,profession,34,Female,26–35 *,Employed *,Recherche *,Christianity,Senegal,Other Nationality,fr,Lawyers are liars,['fon'],lawyers,liars
712,Women should endure,women,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Women should endure,['urhobo'],women,should endure
713,Women should be quiet,women,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Women should be quiet,['urhobo'],women,quiet
714,Women should take care of the home,women,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Women should take care of the home,['urhobo'],women,should take care of the home
715,Men are strong,men,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,sv,Men are strong,['urhobo'],men,strong
716,Men should provide,men,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Men should provide,['urhobo'],men,should provide
717,Men always cheat,men,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Men always cheat,['urhobo'],men,always cheat
718,Yorubas are very accommodating,ethnicity_region,35,Female,36–50 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Yorubas are very accommodating,['urhobo'],yoruba,very accommodating
