Unnamed: 0,stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,identity_term_modified,attribute_term,attribute_term_modified,ethnic_identity,Person Assigned to
342,Christians are only faithfuls on Sunday,religion,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Christians are only faithfuls on Sunday,christians,,only faithfuls on sunday,faithful on sunday,['kikuyu'],Oluchi
343,Muslims are affiliated to terror groups,religion,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Muslims are affiliated to terror groups,muslims,,affiliated to terror groups,,['kikuyu'],Oluchi
344,Old people are grumpy and nagging,age,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Old people are grumpy and nagging,old people,,are grumpy and nagging,are grumpy,['kikuyu'],Oluchi
,Old people are grumpy and nagging,age,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Old people are grumpy and nagging,,old people,,nagging,['kikuyu'],Oluchi
345,"young people are ""nowadays"" disrespectful",age,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,"young people are ""nowadays"" disrespectful",young people,,"are ""nowadays"" disrespectful",disrespectful,['kikuyu'],Oluchi
348,engineers have no social life,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,engineers have no social life,engineers,,no social life,,['kikuyu'],Oluchi
349,bankers are struggling financially,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,bankers are struggling financially,bankers,,struggling financially,,['kikuyu'],Oluchi
350,politicians are all greedy and corrupt individuals,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,politicians are all greedy and corrupt individuals,politicians,,all greedy and corrupt individuals,greedy,['kikuyu'],Oluchi
,politicians are all greedy and corrupt individuals,profession,13,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,politicians are all greedy and corrupt individuals,,politicians,,corrupt,['kikuyu'],Oluchi
356,Women are beautiful,women,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Women are beautiful,women,,beautiful,,"['kikuyu', 'luhya']",Oluchi
357,Women are strong,women,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Women are strong,women,,strong,,"['kikuyu', 'luhya']",Oluchi
358,Women are emotional,women,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Women are emotional,women,,emotional,,"['kikuyu', 'luhya']",Oluchi
359,Women cannot lead a country,women,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Women cannot lead a country,women,,cannot lead a country,bad leaders,"['kikuyu', 'luhya']",Oluchi
360,Women are selfless,women,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,da,Women are selfless,women,,selfless,,"['kikuyu', 'luhya']",Oluchi
361,Women are resilient,women,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,fr,Women are resilient,women,,resilient,,"['kikuyu', 'luhya']",Oluchi
362,Women are dramatic,women,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Women are dramatic,women,,dramatic,,"['kikuyu', 'luhya']",Oluchi
363,Men are leaders,men,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,es,Men are leaders,men,,leaders,,"['kikuyu', 'luhya']",Oluchi
364,Men are dominant,men,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,es,Men are dominant,men,,dominant,,"['kikuyu', 'luhya']",Oluchi
365,Men do not cry,men,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,es,Men do not cry,men,,do not cry,,"['kikuyu', 'luhya']",Oluchi
366,Men are providers,men,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,da,Men are providers,men,,providers,,"['kikuyu', 'luhya']",Oluchi
367,Men are cheaters,men,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Men are cheaters,men,,cheaters,,"['kikuyu', 'luhya']",Oluchi
368,Men are dogs,men,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,da,Men are dogs,men,,dogs,,"['kikuyu', 'luhya']",Oluchi
369,Men are rough,men,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Men are rough,men,,rough,,"['kikuyu', 'luhya']",Oluchi
374,Christians are hypocritical,religion,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Christians are hypocritical,christians,,hypocritical,,"['kikuyu', 'luhya']",Oluchi
375,Muslims are dirty,religion,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,lt,Muslims are dirty,muslims,,dirty,,"['kikuyu', 'luhya']",Oluchi
376,Old people are rigid in their ways,age,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Old people are rigid in their ways,old people,,are rigid in their ways,,"['kikuyu', 'luhya']",Oluchi
377,Young people are experimental,age,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Young people are experimental,young people,,are experimental,,"['kikuyu', 'luhya']",Oluchi
378,Old people gate keep,age,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,et,Old people gate keep,old people,,gate keep,gatekeep,"['kikuyu', 'luhya']",Oluchi
379,Young people are fearless,age,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Young people are fearless,young people,,are fearless,,"['kikuyu', 'luhya']",Oluchi
381,Lawyers are liars,profession,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,en,Lawyers are liars,lawyers,,liars,,"['kikuyu', 'luhya']",Oluchi
382,Engineers are intelligent,profession,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,nl,Engineers are intelligent,engineers,,intelligent,,"['kikuyu', 'luhya']",Oluchi
385,Gen Z are ungovernable,misc,14,Female,26–35 *,Employed *,IT & Software   *,Christianity,Kenya,Kenyan,no,Gen Z are ungovernable,gen z,,ungovernable,,"['kikuyu', 'luhya']",Oluchi
386,Women are gentle,women,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,nl,Women are gentle,women,,gentle,,['yoruba'],Oluchi
387,women are meek,women,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,nl,women are meek,women,,meek,,['yoruba'],Oluchi
388,women are not as strong as men,women,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,women are not as strong as men,women,,not as strong as men,,['yoruba'],Oluchi
389,woman are too emotional,women,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,woman are too emotional,women,,too emotional,,['yoruba'],Oluchi
390,Men are heads of the family,men,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Men are heads of the family,men,,heads of the family,,['yoruba'],Oluchi
391,men are capable,men,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,es,men are capable,men,,capable,,['yoruba'],Oluchi
392,men make better decisions than woman,men,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,nl,men make better decisions than woman,men,,make better decisions than woman,,['yoruba'],Oluchi
393,men are able to control their emotions,men,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,men are able to control their emotions,men,,able to control their emotions,,['yoruba'],Oluchi
394,men can’t be “soft”,men,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,da,men can’t be “soft”,men,,can’t be “soft”,,['yoruba'],Oluchi
395,men are responsible,men,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,fr,men are responsible,men,,responsible,,['yoruba'],Oluchi
396,Yoruba people are dirty,ethnicity_region,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,ro,Yoruba people are dirty,yoruba,yoruba people,are dirty,,['yoruba'],Oluchi
397,Hausa people aren’t smart,ethnicity_region,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Hausa people aren’t smart,hausa,hausa people,aren’t smart,,['yoruba'],Oluchi
398,Igbo people are  cunning,ethnicity_region,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,ro,Igbo people are  cunning,igbo,igbo people,are  cunning,,['yoruba'],Oluchi
399,Hausa people are poor/unambitious,ethnicity_region,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,fr,Hausa people are poor/unambitious,hausa,hausa people,are poor/unambitious,are poor,['yoruba'],Oluchi
,Hausa people are poor/unambitious,ethnicity_region,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,fr,Hausa people are poor/unambitious,,hausa people,,unambitious,['yoruba'],Oluchi
400,Igbo people are too money driven,ethnicity_region,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Igbo people are too money driven,igbo,igbo people,are too money driven,,['yoruba'],Oluchi
401,Muslims are terrorists,religion,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Muslims are terrorists,muslims,,terrorists,,['yoruba'],Oluchi
402,Christian are perfect,religion,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Christian are perfect,christians,,perfect,,['yoruba'],Oluchi
404,Young people are reckless,age,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Young people are reckless,young people,,are reckless,,['yoruba'],Oluchi
405,young people are inexperienced,age,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,young people are inexperienced,young people,,are inexperienced,,['yoruba'],Oluchi
406,young people are disrespectful. Old people are infallible,age,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,young people are disrespectful,young people,,are disrespectful,,['yoruba'],Oluchi
406,young people are disrespectful. Old people are infallible,age,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Old people are infallible,old people,,are infallible,,['yoruba'],Oluchi
407,old people deserve respect,age,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,old people deserve respect,old people,,deserve respect,,['yoruba'],Oluchi
408,old people are always right,age,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,old people are always right,old people,,are always right,,['yoruba'],Oluchi
409,Artists aren’t a serious profession,profession,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,Artists aren’t a serious profession,artists,,aren’t a serious profession,not serious,['yoruba'],Oluchi
410,doctors are well behaved,profession,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,doctors are well behaved,doctors,,well behaved,,['yoruba'],Oluchi
411,mechanics are scammers,profession,15,Female,26–35 *,Unemployed *,,Islam,Other Country,Nigerian,en,mechanics are scammers,mechanics,,scammers,,['yoruba'],Oluchi
414,Women cook better,women,16,Male,36–50 *,Employed *,Finance *,Christianity,Other Country,Nigerian,nl,Women cook better,women,,cook better,,['igbo'],Oluchi
415,Men are providers,men,16,Male,36–50 *,Employed *,Finance *,Christianity,Other Country,Nigerian,da,Men are providers,men,,providers,,['igbo'],Oluchi
416,Igbos love business,ethnicity_region,16,Male,36–50 *,Employed *,Finance *,Christianity,Other Country,Nigerian,en,Igbos love business,igbo,igbo people,love business,,['igbo'],Oluchi
417,Muslims are terrorist,religion,16,Male,36–50 *,Employed *,Finance *,Christianity,Other Country,Nigerian,en,Muslims are terrorist,muslims,,terrorist,,['igbo'],Oluchi
419,Engineers are smart,profession,16,Male,36–50 *,Employed *,Finance *,Christianity,Other Country,Nigerian,en,Engineers are smart,engineers,,smart,,['igbo'],Oluchi
422,providers,men,17,Male,Over 50 *,Self-employed *,,Christianity,Kenya,Kenyan,da,providers,men,,providers,,['luhya'],Oluchi
423,kikuyus are enterprising,ethnicity_region,17,Male,Over 50 *,Self-employed *,,Christianity,Kenya,Kenyan,af,kikuyus are enterprising,kikuyus,kikuyu people,enterprising,,['luhya'],Oluchi
424,muslims are honest,religion,17,Male,Over 50 *,Self-employed *,,Christianity,Kenya,Kenyan,et,muslims are honest,muslims,,honest,,['luhya'],Oluchi
425,young are impatient,age,17,Male,Over 50 *,Self-employed *,,Christianity,Kenya,Kenyan,en,young are impatient,young,young people,impatient,,['luhya'],Oluchi
426,lawyers are con,profession,17,Male,Over 50 *,Self-employed *,,Christianity,Kenya,Kenyan,en,lawyers are con,lawyers,,con,con artists ,['luhya'],Oluchi
427,kalenjins are athletic,misc,17,Male,Over 50 *,Self-employed *,,Christianity,Kenya,Kenyan,en,kalenjins are athletic,kalenjins,,athletic,,['luhya'],Oluchi
428,Women are soft materials. Women's place is in the kitchen. Women are strong.,women,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Women are strong,women,,strong,,['kikuyu'],Oluchi
429,Men are the ones who take the decision. Men are hardworking. Men are the ones who make money in the family.,men,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Men are the ones who take the decision,men,,the ones who take the decision,,['kikuyu'],Oluchi
429,Men are the ones who take the decision. Men are hardworking. Men are the ones who make money in the family.,men,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Men are hardworking,men,,hardworking,,['kikuyu'],Oluchi
429,Men are the ones who take the decision. Men are hardworking. Men are the ones who make money in the family.,men,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Men are the ones who make money in the family,men,,the ones who make money in the family,,['kikuyu'],Oluchi
430,People from Kikuyu ethnic group are highly skilled in business. People from Kikuyu ethnic group are financially astute. People from Kikuyu ethnic group hardworking. People from Kikuyu ethnic group are very resourceful.,ethnicity_region,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,People from Kikuyu ethnic group are highly skilled in business,people from kikuyu,kikuyu people,ethnic group are highly skilled in business,highly skilled in business,['kikuyu'],Oluchi
430,People from Kikuyu ethnic group are highly skilled in business. People from Kikuyu ethnic group are financially astute. People from Kikuyu ethnic group hardworking. People from Kikuyu ethnic group are very resourceful.,ethnicity_region,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,People from Kikuyu ethnic group are financially astute,people from kikuyu,kikuyu people,ethnic group are financially astute,financially astute,['kikuyu'],Oluchi
430,People from Kikuyu ethnic group are highly skilled in business. People from Kikuyu ethnic group are financially astute. People from Kikuyu ethnic group hardworking. People from Kikuyu ethnic group are very resourceful.,ethnicity_region,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,People from Kikuyu ethnic group hardworking,people from kikuyu,kikuyu people,ethnic group hardworking,hardworking,['kikuyu'],Oluchi
430,People from Kikuyu ethnic group are highly skilled in business. People from Kikuyu ethnic group are financially astute. People from Kikuyu ethnic group hardworking. People from Kikuyu ethnic group are very resourceful.,ethnicity_region,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,People from Kikuyu ethnic group are very resourceful,people from kikuyu,kikuyu people,ethnic group are very resourceful,very resourceful ,['kikuyu'],Oluchi
431,Muslims have strong faith. Muslims are the ones who valorize the most solidarity. Christians are a strong community.,religion,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Muslims have strong faith,muslims,,strong faith,,['kikuyu'],Oluchi
431,Muslims have strong faith. Muslims are the ones who valorize the most solidarity. Christians are a strong community.,religion,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Muslims are the ones who valorize the most solidarity,muslims,,the ones who valorize the most solidarity,,['kikuyu'],Oluchi
431,Muslims have strong faith. Muslims are the ones who valorize the most solidarity. Christians are a strong community.,religion,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Christians are a strong community,christians,,a strong community,,['kikuyu'],Oluchi
432,Old people are always right,age,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Old people are always right,old people,,are always right,,['kikuyu'],Oluchi
433,Old people are experienced,age,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Old people are experienced,old people,,are experienced,,['kikuyu'],Oluchi
434,Young people are smart,age,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Young people are smart,young people,,are smart,,['kikuyu'],Oluchi
435,Young people are the future,age,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Young people are the future,young people,,are the future,,['kikuyu'],Oluchi
436,Old people are well-educated.,age,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Old people are well-educated,old people,,are well-educated,,['kikuyu'],Oluchi
437,Artists are talented,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Artists are talented,artists,,talented,,['kikuyu'],Oluchi
439,Journalists are talkative,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Journalists are talkative,journalists,,talkative,,['kikuyu'],Oluchi
440,Journalists are great communicators,profession,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Journalists are great communicators,journalists,,great communicators,,['kikuyu'],Oluchi
445,Teachers are severe.,misc,18,Female,26–35 *,Employed *,Research *,Christianity,Kenya,Kenyan,en,Teachers are severe,teachers,,severe,,['kikuyu'],Oluchi
446,Women can cook,women,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Women can cook,women,,can cook,,"['kikuyu', 'luo']",Oluchi
447,Women are weak,women,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,nl,Women are weak,women,,weak,,"['kikuyu', 'luo']",Oluchi
448,Women are emotionally in-tune,women,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Women are emotionally in-tune,women,,emotionally in-tune,,"['kikuyu', 'luo']",Oluchi
449,Women don't care about success at work,women,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Women don't care about success at work,women,,don't care about success at work,,"['kikuyu', 'luo']",Oluchi
450,Men are emotionally immature,men,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Men are emotionally immature,men,,emotionally immature,,"['kikuyu', 'luo']",Oluchi
451,Men are good at their jobs,men,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Men are good at their jobs,men,,good at their jobs,,"['kikuyu', 'luo']",Oluchi
452,Men don't cry,men,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,fr,Men don't cry,men,,don't cry,,"['kikuyu', 'luo']",Oluchi
455,Christians are honest,religion,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Christians are honest,christians,,honest,,"['kikuyu', 'luo']",Oluchi
456,Young people aren't reliable,age,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Young people aren't reliable,young people,,aren't reliable,,"['kikuyu', 'luo']",Oluchi
457,Old people aren't adaptable,age,19,Female,18–25 *,Employed *,Education *,Christianity,Kenya,Kenyan,en,Old people aren't adaptable,old people,,aren't adaptable,,"['kikuyu', 'luo']",Oluchi
459,Women are emotional,women,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,Women are emotional,women,,emotional,,['yoruba'],Oluchi
460,women are created weaker,women,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,women are created weaker,women,,created weaker,weak,['yoruba'],Oluchi
461,women are meant to follow,women,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,women are meant to follow,women,,meant to follow,,['yoruba'],Oluchi
462,women should be covered and hidden from society,women,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,women should be covered and hidden from society,women,,covered and hidden from society,hidden from society,['yoruba'],Oluchi
465,Men are logical,men,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,es,Men are logical,men,,logical,,['yoruba'],Oluchi
466,men are polygamous in nature,men,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,men are polygamous in nature,men,,polygamous in nature,,['yoruba'],Oluchi
467,men are not loved unconditionally,men,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,men are not loved unconditionally,men,,not loved unconditionally,,['yoruba'],Oluchi
468,men are inherently correct,men,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,men are inherently correct,men,,inherently correct,,['yoruba'],Oluchi
469,men should be violent to prove their masculinity,men,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,men should be violent to prove their masculinity,men,,violent to prove their masculinity,,['yoruba'],Oluchi
470,People from the east are better suited for businesses,ethnicity_region,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,People from the east are better suited for businesses,people from the east,people from eastern Nigeria,are better suited for businesses,good at business,['yoruba'],Oluchi
471,Muslims are religious fanatics and extremists,religion,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,Muslims are religious fanatics and extremists,muslims,,religious fanatics and extremists,religious fanatics,['yoruba'],Oluchi
,Muslims are religious fanatics and extremists,religion,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,Muslims are religious fanatics and extremists,,muslims,,extremists,['yoruba'],Oluchi
472,Christians are accommodating,religion,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,Christians are accommodating,christians,,accommodating,,['yoruba'],Oluchi
473,traditional worshippers are evil,religion,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,traditional worshippers are evil,traditional worshippers,,evil,,['yoruba'],Oluchi
474,Old people are always right,age,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,Old people are always right,old people,,are always right,,['yoruba'],Oluchi
475,young people should not question authority,age,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,en,young people should not question authority,young people,,should not question authority,,['yoruba'],Oluchi
476,Artisans are deceptive,profession,20,Female,26–35 *,Employed *,Experience Design  *,Islam,Nigeria,Nigerian,fr,Artisans are deceptive,artisans,,deceptive,,['yoruba'],Oluchi
477,Women are weak,women,21,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,nl,Women are weak,women,,weak,,['luo'],Oluchi
478,Men are violent,men,21,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,nl,Men are violent,men,,violent,,['luo'],Oluchi
480,Christians are racists,religion,21,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Christians are racists,christians,,racists,,['luo'],Oluchi
481,Old people are too quick to judge,age,21,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Old people are too quick to judge,old people,,are too quick to judge,,['luo'],Oluchi
482,Doctors are cheaters,profession,21,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,en,Doctors are cheaters,doctors,,cheaters,,['luo'],Oluchi
483,Muslims are smelly,misc,21,Male,26–35 *,Self-employed *,,Christianity,Kenya,Kenyan,et,Muslims are smelly,muslims,,smelly,,['luo'],Oluchi
484,Women are nurturing,women,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,ro,Women are nurturing,women,,nurturing,,['luo'],Oluchi
485,women are emotional,women,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,women are emotional,women,,emotional,,['luo'],Oluchi
486,women are intuitive,women,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,women are intuitive,women,,intuitive,,['luo'],Oluchi
487,women are social,women,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,women are social,women,,social,,['luo'],Oluchi
488,Men are logical,men,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,es,Men are logical,men,,logical,,['luo'],Oluchi
489,men are protective,men,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,men are protective,men,,protective,,['luo'],Oluchi
490,men are territorial,men,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,it,men are territorial,men,,territorial,,['luo'],Oluchi
492,Luos are proud,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,fr,Luos are proud,luos,luo people,proud,,['luo'],Oluchi
493,Luos are intellects,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,Luos are intellects,luos,luo people,intellects,,['luo'],Oluchi
494,Kikuyus are business savvy,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,et,Kikuyus are business savvy,kikuyus,kikuyu people,business savvy,,['luo'],Oluchi
495,Kikuyus are matriarchal,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,sw,Kikuyus are matriarchal,kikuyus,kikuyu people,matriarchal,,['luo'],Oluchi
496,kalenjins are traditional,ethnicity_region,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,hr,kalenjins are traditional,kalenjins,kalenjin people,traditional,,['luo'],Oluchi
499,Muslims are disciplined,religion,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,ro,Muslims are disciplined,muslims,,disciplined,,['luo'],Oluchi
500,Muslims are conservative,religion,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,Muslims are conservative,muslims,,conservative,,['luo'],Oluchi
501,Christians are complacent,religion,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,Christians are complacent,christians,,complacent,,['luo'],Oluchi
502,Old people are jaded,age,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,Old people are jaded,old people,,are jaded,,['luo'],Oluchi
503,young people are naive,age,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,young people are naive,young people,,are naive,,['luo'],Oluchi
504,Doctors are underpaid,profession,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,ro,Doctors are underpaid,doctors,,underpaid,,['luo'],Oluchi
505,teachers are underpaid,profession,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,teachers are underpaid,teachers,,underpaid,,['luo'],Oluchi
506,accountants are boring,profession,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,en,accountants are boring,accountants,,boring,,['luo'],Oluchi
507,politicians are corrupt,profession,22,Female,26–35 *,Employed *,Finance * Healthcare   *,Christianity,Kenya,Kenyan,ro,politicians are corrupt,politicians,,corrupt,,['luo'],Oluchi
508,Weak,women,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,sw,Weak,women,,weak,,['yoruba'],Oluchi
509,domestic,women,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,pt,domestic,women,,domestic,,['yoruba'],Oluchi
510,emotional,women,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,en,emotional,women,,emotional,,['yoruba'],Oluchi
511,Strong,men,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,vi,Strong,men,,strong,,['yoruba'],Oluchi
512,aggressive,men,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,it,aggressive,men,,aggressive,,['yoruba'],Oluchi
513,leaders,men,23,Female,26–35 *,Employed *,Media and communications *,Islam,Other Country,Nigerian,es,leaders,men,,leaders,,['yoruba'],Oluchi
