stereotype_sentence,stereotype_type,original_idx,gender_identity,age_range,employment_status,sector,religion,country,nationality,lang,translated_stereotype,identity_term,identity_term_modified,attribute_term,attribute_term_modified,ethnic_identity,person assigned to
the hausas are receptive but arrogant,ethnicity_region,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,the hausas are receptive but arrogant,the hausas,hausa people,receptive but arrogant,receptive,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
,,,,,,,,,,,,,hausa people,,arrogant,,
most yorubas are tribalistic. The Ibos are very industrious and the yorubas are known to get scared easily.,ethnicity_region,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,most yorubas are tribalistic,most yorubas,yoruba people,tribalistic,,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
most yorubas are tribalistic. The Ibos are very industrious and the yorubas are known to get scared easily.,ethnicity_region,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,The Ibos are very industrious and the yorubas are known to get scared easily,the ibos,igbo people,very industrious and the yorubas are known to get scared easily,very industrious,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
Wisdom is usually associated with age people and the youth are more in crime because of lack of work,age,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Wisdom is usually associated with age people and the youth are more in crime because of lack of work,wisdom is usually associated with age people,old people,and the youth are more in crime because of lack of work,wise,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
Some ethnic groups in the south east are cannibalistic. The north east and north west are fraught with beggers,misc,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,Some ethnic groups in the south east are cannibalistic,some ethnic groups in the south east,people from south eastern Nigeria,cannibalistic,cannibalistic ,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
Some ethnic groups in the south east are cannibalistic. The north east and north west are fraught with beggers,misc,36,Male,Over 50 *,Unemployed *,,Islam,Nigeria,Nigerian,en,The north east and north west are fraught with beggers,the north east and north west,people from northern Nigeria,fraught with beggers,beggers,"['igbo', 'hausa', 'yoruba', 'ijaw', 'idoma', 'ishan', 'igala', 'igbira']",Oluchi
People from the Kikuyu group are business-savvy,ethnicity_region,37,Male,26–35 *,Employed *,Education * IT & Software   *,Other,Kenya,Kenyan,en,People from the Kikuyu group are business-savvy,people from the kikuyu,kikuyu people,group are business-savvy,business savvy,['other'],Oluchi
people from the Luo group are flashy,ethnicity_region,37,Male,26–35 *,Employed *,Education * IT & Software   *,Other,Kenya,Kenyan,en,people from the Luo group are flashy,people from the luo,luo people,group are flashy,flashy,['other'],Oluchi
Gay people are flamboyant,misc,37,Male,26–35 *,Employed *,Education * IT & Software   *,Other,Kenya,Kenyan,en,Gay people are flamboyant,gay people,gay people,are flamboyant,flamboyant,['other'],Oluchi
lesbians are butch,misc,37,Male,26–35 *,Employed *,Education * IT & Software   *,Other,Kenya,Kenyan,fr,lesbians are butch,lesbians,,butch,,['other'],Oluchi
les femmes serrées sont tres fonces de peau,women,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,tight women are very dark skin,tight women,serer women,very dark skin,,['serrere'],Oluchi
les femmes serrées ne sont pas belles,women,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,tight women are not beautiful,tight women,serer women,not beautiful,,['serrere'],Oluchi
les hommes sereres sont fiers,men,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Serere men are proud,serere men,serere men,proud,,['serrere'],Oluchi
Les personnes du groupe ethniques serere sont des animistes,ethnicity_region,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,The people of the serere ethnic group are animists,the people,serere people,of the serere ethnic group are animists,animists,['serrere'],Oluchi
Les personnes du groupe ethniques wolof sont espiègle,ethnicity_region,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Wolof ethnic groups are playful,wolof ethnic groups,wolof people,playful,,['serrere'],Oluchi
Les personnes du groupe ethniques diola sont muscles,ethnicity_region,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,The people of the ethnic diola group are muscles,the people,diola people,of the ethnic diola group are muscles,muscular,['serrere'],Oluchi
Les musulmans mourides sont tres généreux,religion,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Muslims Mourides are very generous,muslims mourides,mouride muslims,very generous,,['serrere'],Oluchi
les musulmans tidianes sont pingres,religion,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Tidian Muslims are penguins,tidian muslims,tidian muslims,penguins,stingy,['serrere'],Oluchi
les sociologues sont des espions,profession,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Sociologists are spies,sociologists,,spies,,['serrere'],Oluchi
les taximens sont impolis,profession,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,Taximens are rude,taximens,taxi men,rude,,['serrere'],Oluchi
l'homme est le chef de famille,misc,38,Female,26–35 *,Employed *,Human Centered Design *,Islam,Senegal,Senegalese,fr,The man is the head of the family,the man,men,the head of the family,head of the family,['serrere'],Oluchi
People from Benue are good and home people,ethnicity_region,39,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,People from Benue are good and home people,people from benue,people from benue state ,are good and home people,good people,['tiv'],Oluchi
therapist are special,profession,39,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,therapist are special,therapist,therapists,special,,['tiv'],Oluchi
northern are lovely caring and homely,profession,39,Female,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,northern are lovely caring and homely,northern,people from Northern Nigeria,lovely caring and homely,lovely,['tiv'],Oluchi
Zulu's are aggressive,ethnicity_region,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,ro,Zulu's are aggressive,zulu's,zulu people,aggressive,,['other'],Oluchi
Zulu's are violent,ethnicity_region,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,ro,Zulu's are violent,zulu's,zulu people,violent,,['other'],Oluchi
Xhosa's are opportunistic,ethnicity_region,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,it,Xhosa's are opportunistic,xhosa's,xhosa people,opportunistic,,['other'],Oluchi
Venda's are hard working and clever,ethnicity_region,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Venda's are hard working and clever,venda's,venda people,hard working and clever,hardworking,['other'],Oluchi
,,,,,,,,,,,,,venda people,,clever,,
Blue collar workers are hard working,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Blue collar workers are hard working,blue collar workers,,hard working,,['other'],Oluchi
Blur collar workers are conservative,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Blur collar workers are conservative,blur collar workers,,conservative,,['other'],Oluchi
Hospitality workers are happy go lucky,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Hospitality workers are happy go lucky,hospitality workers,,happy go lucky,,['other'],Oluchi
Bartenders are good listeners,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,nl,Bartenders are good listeners,bartenders,,good listeners,,['other'],Oluchi
Government workers are lazy and could care less,profession,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Government workers are lazy and could care less,government workers,,lazy and could care less,lazy,['other'],Oluchi
Researchers are only interested in publishing and not solving problems,misc,40,Male,Over 50 *,Self-employed *,,Agnostic,Other Country,Other Nationality,en,Researchers are only interested in publishing and not solving problems,researchers,,only interested in publishing and not solving problems,,['other'],Oluchi
les sereres sont fièrs,ethnicity_region,41,Female,26–35 *,Employed *,Research  *,Islam,Senegal,Senegalese,fr,Sereres are free,sereres,serere people,free,,['serrere'],Oluchi
les chétiens sont bien éduqués,religion,41,Female,26–35 *,Employed *,Research  *,Islam,Senegal,Senegalese,fr,The Chétians are well educated,the chétians,christians,well educated,,['serrere'],Oluchi
les sages femmes sont impolies,profession,41,Female,26–35 *,Employed *,Research  *,Islam,Senegal,Senegalese,fr,Sages women are rude,sages women,midwives,rude,,['serrere'],Oluchi
les vendeurs ambulants sont teigneux,profession,41,Female,26–35 *,Employed *,Research  *,Islam,Senegal,Senegalese,fr,itinerant sellers are heartbreaking,itinerant sellers,street vendors,heartbreaking,rude,['serrere'],Oluchi
Ebiras are aggressive,ethnicity_region,43,Male,26–35 *,Employed *,Agriculture *,Islam,Nigeria,Nigerian,it,Ebiras are aggressive,ebiras,ebira people,aggressive,,['ebira'],Oluchi
Terrorist are mostly islamist,religion,43,Male,26–35 *,Employed *,Agriculture *,Islam,Nigeria,Nigerian,en,Terrorist are mostly islamist,terrorist,terrorists,mostly islamist,,['ebira'],Oluchi
People from northern Nigeria are mostly farmers,ethnicity_region,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,People from northern Nigeria are mostly farmers,people from northern,people from Northen Nigeria,nigeria are mostly farmers,farmers,['hausa'],Oluchi
people from northern Nigeria likes giving birth,ethnicity_region,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,people from northern Nigeria likes giving birth,people from northern,people from Northern Nigeria,nigeria likes giving birth,like to birth children,['hausa'],Oluchi
northern Nigeria are over populated.,ethnicity_region,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,en,northern Nigeria are over populated,northern nigeria,people from Northern Nigeria,over populated,,['hausa'],Oluchi
muslim are polygamous,religion,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,lt,muslim are polygamous,muslim,muslims,polygamous,,['hausa'],Oluchi
Female are compassionate,misc,44,Male,26–35 *,Self-employed *,,Islam,Nigeria,Nigerian,it,Female are compassionate,female,women,compassionate,,['hausa'],Oluchi
Igbo youth are progressive,misc,45,Male,26–35 *,Employed *,Hospitality   *,Christianity,Nigeria,Nigerian,en,Igbo youth are progressive,igbo youth,igbo youths,progressive,,['igbo'],Oluchi
Yoruba youths are lazy,misc,45,Male,26–35 *,Employed *,Hospitality   *,Christianity,Nigeria,Nigerian,en,Yoruba youths are lazy,yoruba youths,yoruba youths,lazy,,['igbo'],Oluchi
edo people are diabolical and full of witchcraft,misc,45,Male,26–35 *,Employed *,Hospitality   *,Christianity,Nigeria,Nigerian,en,edo people are diabolical and full of witchcraft,edo people,,are diabolical and full of witchcraft,diabolical,['igbo'],Oluchi
edo youth are full of cultism,misc,45,Male,26–35 *,Employed *,Hospitality   *,Christianity,Nigeria,Nigerian,en,edo youth are full of cultism,edo youth,edo youths,full of cultism,cultism,['igbo'],Oluchi
Black people are violent.,ethnicity_region,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,en,Black people are violent,black people,,are violent,,['other_black'],Oluchi
Chinese are smart.,ethnicity_region,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,en,Chinese are smart,chinese,chinese people,smart,,['other_black'],Oluchi
French are overly romantic/erotic.,ethnicity_region,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,en,French are overly romantic/erotic,french,french people,overly romantic/erotic,,['other_black'],Oluchi
Nuns are also cruel,profession,46,Male,18–25 *,A student *,,Christianity,Other Country,Other Nationality,ca,Nuns are also cruel,nuns,,also cruel,cruel,['other_black'],Oluchi
Les wolofs sont arrogants,ethnicity_region,47,Female,26–35 *,Employed *,Finance *,Islam,Senegal,Senegalese,en,Les wolofs sont arrogants,les,wolof people,wolofs sont arrogants,arrogant,['wolof'],Oluchi
Les personnes âgées sont sages et les jeunes un peu moins respectueuses,age,47,Female,26–35 *,Employed *,Finance *,Islam,Senegal,Senegalese,fr,The elderly are wise and the young people who are a little less respectful,the elderly are wise and the young people,old people,who are a little less respectful,wise,['wolof'],Oluchi
,,,,,,,,,,,,,young people,,not respectful,,
Les serveuses ne sont pas aimables,profession,47,Female,26–35 *,Employed *,Finance *,Islam,Senegal,Senegalese,fr,The waitresses are not friendly,the waitresses,waitresses,not friendly,,['wolof'],Oluchi
les taximans sont agressifs,profession,47,Female,26–35 *,Employed *,Finance *,Islam,Senegal,Senegalese,fr,Taximans are aggressive,taximans,taxi men,aggressive,,['wolof'],Oluchi
People from the USA are blabbermouths,ethnicity_region,48,Male,Over 50 *,Employed *,Education *,Atheism,Other Country,Other Nationality,en,People from the USA are blabbermouths,people from the usa,Americans,are blabbermouths,,['other'],Oluchi
techbros are toxic,misc,48,Male,Over 50 *,Employed *,Education *,Atheism,Other Country,Other Nationality,es,techbros are toxic,techbros,tech bros,toxic,,['other'],Oluchi
Good Men are rare,men,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,en,Good Men are rare,good men,,rare,,['yoruba'],Oluchi
Gen Z's are lazy,age,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,es,Gen Z's are lazy,gen z's,gen z's,lazy,,['yoruba'],Oluchi
Makeup artist are very wicked people,profession,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,en,Makeup artist are very wicked people,makeup artist,makeup artists,very wicked people,,['yoruba'],Oluchi
Motor mechanics are not to be trusted,profession,49,Female,36–50 *,Freelancer *,,Christianity,Nigeria,Nigerian,en,Motor mechanics are not to be trusted,motor mechanics,,not to be trusted,,['yoruba'],Oluchi
Christinas are saved,religion,50,Female,36–50 *,Employed *,Healthcare   *,Christianity,Kenya,Kenyan,en,Christinas are saved,christinas,christians,saved,,['kikuyu'],Oluchi
Les femmes courtes de taille sont fortes de caractère,women,51,Female,26–35 *,Employed *,Aviation  *,Islam,Senegal,Senegalese,fr,Short women are strong in character,short women,,strong in character,,['serrere'],Oluchi
Les Sereres (mit Ein einen r bitte) sont foncés de peaux,ethnicity_region,51,Female,26–35 *,Employed *,Aviation  *,Islam,Senegal,Senegalese,fr,The sereres (Mit Ein Einen R Bitte) are dark with skins,the sereres (mit ein einen r bitte),serere people,dark with skins,dark skin,['serrere'],Oluchi
Les adultes savent tout,age,51,Female,26–35 *,Employed *,Aviation  *,Islam,Senegal,Senegalese,fr,Adults know everything,adults,,know everything,,['serrere'],Oluchi
Les Al Pulaar sont racistes,misc,51,Female,26–35 *,Employed *,Aviation  *,Islam,Senegal,Senegalese,fr,The Al Pulaar are racist,the al pulaar,The Al pulaars ,racist,,['serrere'],Oluchi
Alpha provider,men,52,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,pt,Alpha provider,alpha,alpha men,provider,,['yoruba'],Oluchi
Christians think they are morally superior,religion,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Christians think they are morally superior,christians think they,christians,morally superior,,['yoruba'],Oluchi
atheists think they are smarter than others.,religion,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,atheists think they are smarter than others,atheists think they,atheists,smarter than others,,['yoruba'],Oluchi
Gay men are flamboyant,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,es,Gay men are flamboyant,gay men,,flamboyant,,['yoruba'],Oluchi
gay men are fashionable,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,gay men are fashionable,gay men,,fashionable,,['yoruba'],Oluchi
lesbians are masculine,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,lesbians are masculine,lesbians,,masculine,,['yoruba'],Oluchi
bisexuals are confused,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,bisexuals are confused,bisexuals,,confused,,['yoruba'],Oluchi
trans people are attention seekers,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,trans people are attention seekers,trans people,,are attention seekers,,['yoruba'],Oluchi
asexual people are cold,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,asexual people are cold,asexual people,,are cold,,['yoruba'],Oluchi
muscular people are not intelligent,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,muscular people are not intelligent,muscular people,,are not intelligent,,['yoruba'],Oluchi
attractive people are shallow,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,attractive people are shallow,attractive people,,are shallow,,['yoruba'],Oluchi
middle-class people are pretentious,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,middle-class people are pretentious,middle-class people,,are pretentious,,['yoruba'],Oluchi
upper-class people are disconnected from reality,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,upper-class people are disconnected from reality,upper-class people,,are disconnected from reality,,['yoruba'],Oluchi
Uneducated people are ignorant,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Uneducated people are ignorant,uneducated people,,are ignorant,,['yoruba'],Oluchi
uneducated people are violent,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,uneducated people are violent,uneducated people,,are violent,,['yoruba'],Oluchi
educated people are arrogant,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,educated people are arrogant,educated people,,are arrogant,,['yoruba'],Oluchi
educated people lack common sense,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,educated people lack common sense,educated people,,lack common sense,,['yoruba'],Oluchi
British people are polite,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,British people are polite,british people,,are polite,,['yoruba'],Oluchi
British people are emotionally repressed,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,British people are emotionally repressed,british people,,are emotionally repressed,,['yoruba'],Oluchi
Germans are strict,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Germans are strict,germans,,strict,,['yoruba'],Oluchi
Germans are efficient,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,fr,Germans are efficient,germans,,efficient,,['yoruba'],Oluchi
French people are romantic,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,French people are romantic,french people,,are romantic,,['yoruba'],Oluchi
French people are snobbish,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,French people are snobbish,french people,,are snobbish,,['yoruba'],Oluchi
Chinese people are hardworking,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Chinese people are hardworking,chinese people,,are hardworking,,['yoruba'],Oluchi
Chinese people are robotic,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Chinese people are robotic,chinese people,,are robotic,,['yoruba'],Oluchi
South Africans are violent,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,South Africans are violent,south africans,,violent,,['yoruba'],Oluchi
South Africans are friendly,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,South Africans are friendly,south africans,,friendly,,['yoruba'],Oluchi
Indians are tech-savvy,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Indians are tech-savvy,indians,,tech-savvy,,['yoruba'],Oluchi
Indians are overly traditional,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Indians are overly traditional,indians,,overly traditional,,['yoruba'],Oluchi
Brazilians are fun-loving,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ro,Brazilians are fun-loving,brazilians,,fun-loving,,['yoruba'],Daniella
Brazilians are party animals,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Brazilians are party animals,brazilians,,party animals,,['yoruba'],Daniella
Russians are cold,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Russians are cold,russians,,cold,,['yoruba'],Daniella
Russians are tough,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Russians are tough,russians,,tough,,['yoruba'],Daniella
Evangelicals are fanatical,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,Evangelicals are fanatical,evangelicals,,fanatical,,['yoruba'],Daniella
Catholics are guilt-ridden,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,Catholics are guilt-ridden,catholics,,guilt-ridden,,['yoruba'],Daniella
Pentecostals are loud,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,ca,Pentecostals are loud,pentecostals,,loud,,['yoruba'],Daniella
influencers are fake,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,influencers are fake,influencers,,fake,,['yoruba'],Daniella
single people are lonely,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,it,single people are lonely,single people,,are lonely,,['yoruba'],Daniella
married people are boring,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,married people are boring,married people,,are boring,,['yoruba'],Daniella
working mothers are neglectful,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,working mothers are neglectful,working mothers,,neglectful,,['yoruba'],Daniella
homeschooled kids are antisocial,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,homeschooled kids are antisocial,homeschooled kids,,antisocial,,['yoruba'],Daniella
only children are spoiled,misc,53,Male,Under 18 *,A student *,,Christianity,Nigeria,Nigerian,en,only children are spoiled,only children,,spoiled,,['yoruba'],Daniella
A woman is meant to be in the kitchen,women,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,A woman is meant to be in the kitchen,a woman,women,meant to be in the kitchen,,['yoruba'],Daniella
A woman was created for giving birth alone,women,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,A woman was created for giving birth alone,a woman,women,created for giving birth alone,,['yoruba'],Daniella
A woman cannot head a home,women,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,A woman cannot head a home,a,women,woman cannot head a home,,['yoruba'],Daniella
Every man is a potential rapist,men,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Every man is a potential rapist,every man,men,a potential rapist,potential rapist ,['yoruba'],Daniella
Northerns are the highest perpetrators of banditry,ethnicity_region,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Northerns are the highest perpetrators of banditry,northerns,,the highest perpetrators of banditry,,['yoruba'],Daniella
Christain is the only true religion,religion,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Christain is the only true religion,christain,christians ,the only true religion,,['yoruba'],Daniella
Islam is full of wickedness,religion,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Islam is full of wickedness,islam,,full of wickedness,,['yoruba'],Daniella
Handwork is for unlearned people,profession,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Handwork is for unlearned people,handwork,unlearned people ,for unlearned people,hardworking ,['yoruba'],Daniella
a teacher’s reward is in heaven,profession,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,a teacher’s reward is in heaven,a teacher’s reward,Teachers,in heaven,are believed to receive their reward in heaven ,['yoruba'],Daniella
police is not your friend,profession,54,Male,18–25 *,Self-employed *,,Christianity,Nigeria,Nigerian,fr,police is not your friend,police,,not your friend,,['yoruba'],Daniella
Igala people are aggressive,ethnicity_region,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,it,Igala people are aggressive,igala people,,are aggressive,,['fulani'],Daniella
fulanis are kidnappers,ethnicity_region,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,sv,fulanis are kidnappers,fulanis,,kidnappers,,['fulani'],Daniella
the old people are wise,age,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,en,the old people are wise,the old people,old people,are wise,,['fulani'],Daniella
Doctors/nurses are promiscuous,profession,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,fr,Doctors/nurses are promiscuous,doctors/nurses,doctors,promiscuous,,['fulani'],Daniella
,,,,,,,,,,,,,nurses,,promiscuous ,,
uniform personnel are promiscuous,profession,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,it,uniform personnel are promiscuous,uniform personnel,,promiscuous,,['fulani'],Daniella
Youruba men are refreed to as demons when it comes to relationships.,misc,55,Male,26–35 *,Employed *,Government  *,Islam,Nigeria,Nigerian,en,Youruba men are refreed to as demons when it comes to relationships,youruba men,,refreed to as demons when it comes to relationships,,['fulani'],Daniella
women want to get married and have kids,women,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,nl,women want to get married and have kids,women want to get married and,women ,kids,want to get married and get kids,['yoruba'],Daniella
Christians believe they are morally superior,religion,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,Christians believe they are morally superior,christians believe they,christians ,morally superior,believe they are morally superior,['yoruba'],Daniella
stay-at-home moms are nurturing,misc,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,stay-at-home moms are nurturing,stay-at-home moms,,nurturing,,['yoruba'],Daniella
stay-at-home dads are lazy,misc,56,Male,26–35 *,Employed *,Healthcare   *,Christianity,Nigeria,Nigerian,en,stay-at-home dads are lazy,stay-at-home dads,,lazy,,['yoruba'],Daniella
a man showing emotion is weak,men,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,a man showing emotion is weak,a man showing emotion,emotional men,weak,,['yoruba'],Daniella
mean should shoulder all the family responsibilities,men,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,mean should shoulder all the family responsibilities,mean,men,should shoulder all the family responsibilities,,['yoruba'],Daniella
ladies from Calabar are sex machines,ethnicity_region,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,ladies from Calabar are sex machines,ladies from calabar,Calabar women ,sex machines,,['yoruba'],Daniella
Lagos ladies are gold diggers,ethnicity_region,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,af,Lagos ladies are gold diggers,lagos ladies,lagos women,gold diggers,,['yoruba'],Daniella
Jehovah Witness are not smart,religion,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,Jehovah Witness are not smart,jehovah witness,jehovah witnesses,not smart,,['yoruba'],Daniella
Old Nigerians are responsible for the bad state of the country,age,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,Old Nigerians are responsible for the bad state of the country,old nigerians,,responsible for the bad state of the country,,['yoruba'],Daniella
young Nigerians are lazy,age,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,young Nigerians are lazy,young nigerians,,lazy,,['yoruba'],Daniella
white collar job workers are not economically okay,profession,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,white collar job workers are not economically okay,white collar job workers,,not economically okay,,['yoruba'],Daniella
Religious leaders are wise,profession,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,Religious leaders are wise,religious leaders,,wise,,['yoruba'],Daniella
Already provided,misc,57,Male,36–50 *,Employed *,Journalism *,Islam,Nigeria,Nigerian,en,Already provided,already,religious learders,provided,,['yoruba'],Daniella
Men are not allowed to show emotions so as not to be perceived weak. Men are of higher societal value than women.Men are mini God's who are to be worshipped and obeyed unconditionally.  Hard works are for men,men,59,Female,26–35 *,Self-employed *,,Christianity,Nigeria,Nigerian,en,Hard works are for men,hard works,men ,for men,hard workers,['yoruba'],Daniella
